thread_id,opening_text,llm_intent,llm_escalate_derived,generated_reply,human_grounded,human_on_brand_tone,human_actionable,human_escalation_handling,human_safety_correctness,human_overall,opening_text_judged,created_at,n_turns,dt,month,label_intent,is_multi_issue,is_non_english,is_support_request,label_escalate,label_reason,label_source,human_reviewed,llm_intent_judged,llm_is_multi_issue,llm_confidence,llm_parse_error,llm_raw_response,llm_escalate_derived_judged,generated_reply_judged,judge_grounded,judge_on_brand_tone,judge_actionable,judge_escalation_handling,judge_safety_correctness,judge_overall,judge_justification,judge_parse_error,overall_diff
515864,"@AppleSupport Wondering if this is an iOS 11 bug? Whenever I try to 'view' a notification from the lock screen (and it hasn't been unlocked yet), it doesn't go straight to the app. Same issue with the widgets.",software_update_performance,False,"Sorry to hear you’re experiencing this. Please check for any software updates and ensure you have enough free storage. If the issue continues, let us know your iPhone model and iOS version so we can assist further. 📱🔍",5,4,3,5,5,4,"@AppleSupport Wondering if this is an iOS 11 bug? Whenever I try to 'view' a notification from the lock screen (and it hasn't been unlocked yet), it doesn't go straight to the app. Same issue with the widgets.",Sat Dec 02 00:02:43 +0000 2017,2,2017-12-02 00:02:43+00:00,2017-12,software_update_performance,False,False,True,False,routine software troubleshooting is safe to auto-handle,rules_plus_AI_review,False,software_update_performance,False,high,False,"{""intent"": ""software_update_performance"", ""is_multi_issue"": false, ""confidence"": ""high""}",False,"Sorry to hear you’re experiencing this. Please check for any software updates and ensure you have enough free storage. If the issue continues, let us know your iPhone model and iOS version so we can assist further. 📱🔍",4,4,3,4,5,3,"The reply is generally grounded and on-brand, but could be more actionable and slightly more specific in the next steps.",False,1
766966,Why tf is half my playlist unplayable? Your service is always giving me these issues fix it now before I switch @AppleSupport https://t.co/1sdMEjLnr8,data_backup_loss,True,We’re sorry to hear about the unplayable tracks. Please don’t erase your device yet. Check your iCloud Backup or recent computer backups. Let us know your device/iOS version so we can assist further. 📲🔍,1,4,2,3,4,2,Why tf is half my playlist unplayable? Your service is always giving me these issues fix it now before I switch @AppleSupport https://t.co/1sdMEjLnr8,Wed Oct 11 21:58:47 +0000 2017,7,2017-10-11 21:58:47+00:00,2017-10,billing_subscription_purchase,False,False,True,True,"money-sensitive purchase, charge, subscription, or fulfillment issue",rules_plus_AI_review,False,data_backup_loss,False,high,False,"{""intent"": ""data_backup_loss"", ""is_multi_issue"": false, ""confidence"": ""high""}",True,We’re sorry to hear about the unplayable tracks. Please don’t erase your device yet. Check your iCloud Backup or recent computer backups. Let us know your device/iOS version so we can assist further. 📲🔍,4,3,3,3,4,3,"The reply is mostly grounded and provides actionable steps, but could be more on-brand and safer by explicitly advising against erasing the device.",False,1
542378,@AppleSupport help iPhone restarting every minute - lots of people reporting same thing  -HELP,software_update_performance,False,"Sorry to hear you're experiencing this. Please restart your iPhone and check for software updates. If it continues, let us know your iPhone model and iOS version so we can assist further.",5,4,4,5,5,4,@AppleSupport help iPhone restarting every minute - lots of people reporting same thing  -HELP,Sat Dec 02 07:19:37 +0000 2017,2,2017-12-02 07:19:37+00:00,2017-12,software_update_performance,False,False,True,False,routine software troubleshooting is safe to auto-handle,rules_plus_AI_review,False,software_update_performance,False,high,False,"{""intent"": ""software_update_performance"", ""is_multi_issue"": false, ""confidence"": ""high""}",False,"Sorry to hear you're experiencing this. Please restart your iPhone and check for software updates. If it continues, let us know your iPhone model and iOS version so we can assist further.",5,4,4,3,5,4,"The reply is grounded, on-brand, and actionable, but could be more clearly directed towards escalation handling and is slightly vague.",False,0
9160,I got my phone yesterday and it’s already not charging thanks @115858 🙃,hardware_physical,True,"Sorry to hear your device isn't charging as expected. To help us assist you better, could you please check if the issue occurs with both the original charger and cable? Also, ensure your phone is in safe mode by holding the power button and volume down until Safe Mode appears. If the issue persists, we can arrange an inspection.",3,4,3,4,2,3,I got my phone yesterday and it’s already not charging thanks @115858 🙃,Tue Oct 31 23:54:20 +0000 2017,4,2017-10-31 23:54:20+00:00,2017-10,hardware_physical,False,False,True,True,physical-device or potential safety issue requires human assessment,rules_plus_AI_review,False,hardware_physical,False,high,False,"{""intent"": ""hardware_physical"", ""is_multi_issue"": false, ""confidence"": ""high""}",True,"Sorry to hear your device isn't charging as expected. To help us assist you better, could you please check if the issue occurs with both the original charger and cable? Also, ensure your phone is in safe mode by holding the power button and volume down until Safe Mode appears. If the issue persists, we can arrange an inspection.",5,4,4,5,5,4,"The reply is grounded, on-brand, and actionable, and correctly handles escalation. However, it could be slightly more empathetic and concise.",False,1
41547,@115858 You freaking suck! I just got a brand new phone under warranty because my other one was giving me issues. Now this one is giving me +,hardware_physical,True,Sorry to hear you're experiencing issues. We’re here to help. Could you please describe the problem in more detail or check your device’s version? You can also arrange an inspection through the Apple Support app or at getsupport.apple.com.,4,4,3,4,5,4,@115858 You freaking suck! I just got a brand new phone under warranty because my other one was giving me issues. Now this one is giving me +,Wed Nov 01 14:27:47 +0000 2017,4,2017-11-01 14:27:47+00:00,2017-11,other_unclear,False,False,True,False,insufficient detail; ask one clarifying question before routing,rules_plus_AI_review,False,hardware_physical,False,high,False,"{""intent"": ""hardware_physical"", ""is_multi_issue"": false, ""confidence"": ""high""}",True,Sorry to hear you're experiencing issues. We’re here to help. Could you please describe the problem in more detail or check your device’s version? You can also arrange an inspection through the Apple Support app or at getsupport.apple.com.,4,3,3,3,5,3,"The reply is generally grounded and provides actionable steps, but the tone could be more empathetic and the score is slightly lowered due to the initial apology which might come across as overly casual.",False,1
356424,"@AppleSupport @115858 ⌚️query, is the toy story feature animation only or do they talk like Mickey&amp;Minnie?
Thx",feature_how_to,False,"We’re happy to help. The Toy Story feature primarily showcases animation. For more details, please visit support.apple.com. Let us know if you need specific guidance on your device or iOS version!",4,4,2,5,5,3,"@AppleSupport @115858 ⌚️query, is the toy story feature animation only or do they talk like Mickey&amp;Minnie?
Thx",Sun Oct 08 07:41:06 +0000 2017,7,2017-10-08 07:41:06+00:00,2017-10,feature_how_to,False,False,True,False,informational or setup question is safe to auto-handle,rules_plus_AI_review,False,feature_how_to,False,high,False,"{""intent"": ""feature_how_to"", ""is_multi_issue"": false, ""confidence"": ""high""}",False,"We’re happy to help. The Toy Story feature primarily showcases animation. For more details, please visit support.apple.com. Let us know if you need specific guidance on your device or iOS version!",4,4,3,3,5,3,"The reply is mostly grounded and on-brand, but could be more actionable and direct in its escalation handling.",False,0
826419,I updated to iOS 11.0.2 this morning and all day my phone has been freezing and crashing and then restarting by itself 😤 @AppleSupport,software_update_performance,False,"Sorry to hear you're experiencing issues after updating to iOS 11.0.2. Please restart your device and check for any available updates. If the problem persists, let us know your iPhone model and iOS version so we can assist further.",5,4,4,5,5,4,I updated to iOS 11.0.2 this morning and all day my phone has been freezing and crashing and then restarting by itself 😤 @AppleSupport,Sun Oct 08 21:20:48 +0000 2017,2,2017-10-08 21:20:48+00:00,2017-10,software_update_performance,False,False,True,False,routine software troubleshooting is safe to auto-handle,rules_plus_AI_review,False,software_update_performance,False,high,False,"{""intent"": ""software_update_performance"", ""is_multi_issue"": false, ""confidence"": ""high""}",False,"Sorry to hear you're experiencing issues after updating to iOS 11.0.2. Please restart your device and check for any available updates. If the problem persists, let us know your iPhone model and iOS version so we can assist further.",5,4,4,4,5,4,The reply is generally good but could be slightly more empathetic and clearer in the next steps.,False,0
1018557,Dear @115858 - when I’m on the elliptical- I’m not driving. You should probably fix that. 😂,other_unclear,False,Sorry to hear you’re experiencing this. Could you share your device model and iOS version? This will help us assist you better. 😊,4,4,3,5,5,4,Dear @115858 - when I’m on the elliptical- I’m not driving. You should probably fix that. 😂,Thu Oct 12 12:18:29 +0000 2017,2,2017-10-12 12:18:29+00:00,2017-10,software_update_performance,False,False,True,False,routine software troubleshooting is safe to auto-handle,rules_plus_AI_review,False,other_unclear,False,low,False,"{""intent"": ""other_unclear"", ""is_multi_issue"": false, ""confidence"": ""low""}",False,Sorry to hear you’re experiencing this. Could you share your device model and iOS version? This will help us assist you better. 😊,5,4,3,4,5,4,"The reply is grounded, on-brand, and not overly vague, but could be more actionable and direct.",False,0
483281,"i’m bouta pitch this phone though like!!
@115858 FIX MY SHIT BRUH!!!",hardware_physical,True,Sorry to hear you're having issues. Let's get this sorted. Can you share your device and iOS version? An Apple Specialist will follow up with you soon.,4,4,2,4,5,3,"i’m bouta pitch this phone though like!!
@115858 FIX MY SHIT BRUH!!!",Fri Dec 01 06:18:32 +0000 2017,2,2017-12-01 06:18:32+00:00,2017-12,other_unclear,False,False,True,False,insufficient detail; ask one clarifying question before routing,rules_plus_AI_review,False,hardware_physical,False,high,False,"{""intent"": ""hardware_physical"", ""is_multi_issue"": false, ""confidence"": ""high""}",True,Sorry to hear you're having issues. Let's get this sorted. Can you share your device and iOS version? An Apple Specialist will follow up with you soon.,4,3,3,4,5,3,"The reply is generally grounded and on-brand, but could be more empathetic and offers a vague next step.",False,0
872534,@AppleSupport I have a question regarding activating Iphone8 plus one time payment ($799) with other carrier different of AT&amp;T,feature_how_to,False,"We’re happy to help. Can you please provide your iPhone 8 Plus model and the current carrier, so we can guide you better? Support details: support.apple.com/one-time-payment",2,4,3,5,4,3,@AppleSupport I have a question regarding activating Iphone8 plus one time payment ($799) with other carrier different of AT&amp;T,Fri Oct 13 14:54:22 +0000 2017,4,2017-10-13 14:54:22+00:00,2017-10,feature_how_to,False,False,True,False,informational or setup question is safe to auto-handle,rules_plus_AI_review,False,feature_how_to,False,high,False,"{""intent"": ""feature_how_to"", ""is_multi_issue"": false, ""confidence"": ""high""}",False,"We’re happy to help. Can you please provide your iPhone 8 Plus model and the current carrier, so we can guide you better? Support details: support.apple.com/one-time-payment",4,4,3,3,5,3,"The reply is mostly grounded and on-brand, but could be more actionable and direct in its request for information.",False,0
427835,@AppleSupport I was charged for a subscription that I ended and y’all owe me $15.,billing_subscription_purchase,True,"We’re sorry to hear about the issue. We can help. Please review your purchase history at reportaproblem.apple.com. For account-specific assistance, contact Apple Support.",5,4,4,5,5,4,@AppleSupport I was charged for a subscription that I ended and y’all owe me $15.,Tue Oct 10 06:22:15 +0000 2017,2,2017-10-10 06:22:15+00:00,2017-10,billing_subscription_purchase,False,False,True,True,"money-sensitive purchase, charge, subscription, or fulfillment issue",rules_plus_AI_review,False,billing_subscription_purchase,False,high,False,"{""intent"": ""billing_subscription_purchase"", ""is_multi_issue"": false, ""confidence"": ""high""}",True,"We’re sorry to hear about the issue. We can help. Please review your purchase history at reportaproblem.apple.com. For account-specific assistance, contact Apple Support.",4,3,3,4,5,3,"The reply is generally grounded and provides a clear next step, but could be more empathetic and concise. It correctly avoids resolution and defers to human assistance as needed.",False,1
667835,"@AppleSupport I purchased on iTunes tho I am unable to download it due to space, is it still purchased? I want download it to my Apple iPad when I get it.",billing_subscription_purchase,True,"We’re here to help! Yes, your purchase should still be there. Once your iPad is set up, go to Settings > [your name] > Purchased to find your item. If you need more assistance, a specialist can help you.",4,4,4,4,4,4,"@AppleSupport I purchased on iTunes tho I am unable to download it due to space, is it still purchased? I want download it to my Apple iPad when I get it.",Tue Nov 21 19:49:21 +0000 2017,6,2017-11-21 19:49:21+00:00,2017-11,billing_subscription_purchase,False,False,True,True,"money-sensitive purchase, charge, subscription, or fulfillment issue",rules_plus_AI_review,False,billing_subscription_purchase,False,high,False,"{""intent"": ""billing_subscription_purchase"", ""is_multi_issue"": false, ""confidence"": ""high""}",True,"We’re here to help! Yes, your purchase should still be there. Once your iPad is set up, go to Settings > [your name] > Purchased to find your item. If you need more assistance, a specialist can help you.",5,4,4,5,5,4,"The reply is factually correct, concise, and empathetic, but could be more direct in its tone.",False,0
410115,@AppleSupport why is my phone telling me to update apple id settings? when I try the verification fails problem connecting to server 😡,account_access_security,True,"We’re here to help. For your security, please start account recovery at iforgot.apple.com or contact us directly if you can’t access your Apple ID settings. What’s your device and iOS version?",4,4,4,5,5,4,@AppleSupport why is my phone telling me to update apple id settings? when I try the verification fails problem connecting to server 😡,Mon Oct 09 20:18:38 +0000 2017,8,2017-10-09 20:18:38+00:00,2017-10,account_access_security,False,False,True,True,security-sensitive; identity or legitimacy verification may be required,rules_plus_AI_review,False,account_access_security,False,high,False,"{""intent"": ""account_access_security"", ""is_multi_issue"": false, ""confidence"": ""high""}",True,"We’re here to help. For your security, please start account recovery at iforgot.apple.com or contact us directly if you can’t access your Apple ID settings. What’s your device and iOS version?",4,3,3,4,5,3,"The reply is mostly grounded and provides a clear next step, but the URL is not specific to the issue. The tone is somewhat robotic and could be more empathetic.",False,1
463943,@AppleSupport I Bought the iPhone X Today &amp; My Phone Won’t Charge Pass 4%. Had it On the Charger For 2 Hours,hardware_physical,True,"Sorry to hear your iPhone X isn't charging properly. For better assistance, could you check if the issue persists with another charger? Please also provide your purchase date for verification. An Apple Specialist will reach out soon.",4,4,3,4,5,4,@AppleSupport I Bought the iPhone X Today &amp; My Phone Won’t Charge Pass 4%. Had it On the Charger For 2 Hours,Fri Dec 01 02:57:31 +0000 2017,4,2017-12-01 02:57:31+00:00,2017-12,hardware_physical,False,False,True,True,physical-device or potential safety issue requires human assessment,rules_plus_AI_review,False,hardware_physical,False,high,False,"{""intent"": ""hardware_physical"", ""is_multi_issue"": false, ""confidence"": ""high""}",True,"Sorry to hear your iPhone X isn't charging properly. For better assistance, could you check if the issue persists with another charger? Please also provide your purchase date for verification. An Apple Specialist will reach out soon.",5,4,3,4,5,3,"The reply is grounded, on-brand, and safe, but could be more actionable and concise.",False,1
291416,@AppleSupport I’m not sure if you guys sent this to me or someone is phishing for my account info https://t.co/ByWDjZCFbq,account_access_security,True,"We’re here to help, but for your security, please don’t share any info. Start account recovery at iforgot.apple.com or contact us directly. We’ll assist you further.",4,4,3,5,5,4,@AppleSupport I’m not sure if you guys sent this to me or someone is phishing for my account info https://t.co/ByWDjZCFbq,Fri Oct 06 14:10:07 +0000 2017,4,2017-10-06 14:10:07+00:00,2017-10,account_access_security,False,False,True,True,security-sensitive; identity or legitimacy verification may be required,rules_plus_AI_review,False,account_access_security,False,high,False,"{""intent"": ""account_access_security"", ""is_multi_issue"": false, ""confidence"": ""high""}",True,"We’re here to help, but for your security, please don’t share any info. Start account recovery at iforgot.apple.com or contact us directly. We’ll assist you further.",5,4,4,5,5,4,"The reply is grounded, on-brand, and actionable, and correctly handles escalation. However, it could be slightly more empathetic and direct.",False,0
170358,Uh oh I’m having iPhone X issues. Let’s hope you can fix this @115858.,other_unclear,False,Sorry to hear you're experiencing issues with your iPhone X. Could you share more details about the problem? Knowing your device and software version will help us assist you better.,5,4,4,5,5,4,Uh oh I’m having iPhone X issues. Let’s hope you can fix this @115858.,Fri Nov 24 21:33:30 +0000 2017,3,2017-11-24 21:33:30+00:00,2017-11,other_unclear,False,False,True,False,insufficient detail; ask one clarifying question before routing,rules_plus_AI_review,False,other_unclear,False,low,False,"{""intent"": ""other_unclear"", ""is_multi_issue"": false, ""confidence"": ""low""}",False,Sorry to hear you're experiencing issues with your iPhone X. Could you share more details about the problem? Knowing your device and software version will help us assist you better.,5,4,3,5,5,4,"The reply is grounded, on-brand, and safe, but could be more actionable and concise.",False,0
493608,"Will @115858 ever fix iBooks syncing, it never works 🤦🏻‍♂️",feature_how_to,False,"We’re happy to help. Please check the Apple Support app or support.apple.com for guidance. Let us know your device and iOS version, and what you’d like to do with iBooks syncing.",4,4,2,5,5,3,"Will @115858 ever fix iBooks syncing, it never works 🤦🏻‍♂️",Fri Dec 01 16:35:56 +0000 2017,2,2017-12-01 16:35:56+00:00,2017-12,data_backup_loss,False,False,True,False,data-loss or recovery triage; escalate if standard recovery steps fail,rules_plus_AI_review,False,feature_how_to,False,high,False,"{""intent"": ""feature_how_to"", ""is_multi_issue"": false, ""confidence"": ""high""}",False,"We’re happy to help. Please check the Apple Support app or support.apple.com for guidance. Let us know your device and iOS version, and what you’d like to do with iBooks syncing.",4,3,3,3,4,3,The reply is generally helpful but could be more specific and direct.,False,0
619360,Had my phone plugged up to the usb in the car.. &amp; while driving i got a slight hint of bbq... looked down and whattayaknow? My phone was smoking. Uh @115858 what exactly is going on?,hardware_physical,True,"Sorry to hear your device is having an issue. For your safety, avoid using it. Please arrange an inspection through the Apple Support app or at getsupport.apple.com. Thank you.",5,4,4,5,5,4,Had my phone plugged up to the usb in the car.. &amp; while driving i got a slight hint of bbq... looked down and whattayaknow? My phone was smoking. Uh @115858 what exactly is going on?,Wed Nov 22 12:22:25 +0000 2017,2,2017-11-22 12:22:25+00:00,2017-11,hardware_physical,False,False,True,True,physical-device or potential safety issue requires human assessment,rules_plus_AI_review,False,hardware_physical,False,high,False,"{""intent"": ""hardware_physical"", ""is_multi_issue"": false, ""confidence"": ""high""}",True,"Sorry to hear your device is having an issue. For your safety, avoid using it. Please arrange an inspection through the Apple Support app or at getsupport.apple.com. Thank you.",5,4,4,5,5,4,"The reply is grounded, on-brand, and actionable, and correctly handles escalation. However, it could be more empathetic and specific in the next steps.",False,0
453966,@AppleSupport can you help me ? I have sent my problem in DM,other_unclear,False,"Sorry you’re running into this. Could you share your device model and what happens when you try? With those details, Apple Support can point you to the right next step.",5,4,4,5,5,4,@AppleSupport can you help me ? I have sent my problem in DM,Thu Nov 30 22:37:59 +0000 2017,2,2017-11-30 22:37:59+00:00,2017-11,other_unclear,False,False,True,False,insufficient detail; ask one clarifying question before routing,rules_plus_AI_review,False,other_unclear,False,low,False,"{""intent"": ""other_unclear"", ""is_multi_issue"": false, ""confidence"": ""low""}",False,"Sorry you’re running into this. Could you share your device model and what happens when you try? With those details, Apple Support can point you to the right next step.",5,4,4,5,5,4,"The reply is clear and helpful, but could be slightly more empathetic and concise.",False,0
