thread_id,opening_text,llm_intent,llm_escalate_derived,generated_reply,human_grounded,human_on_brand_tone,human_actionable,human_escalation_handling,human_safety_correctness,human_overall
515864,"@AppleSupport Wondering if this is an iOS 11 bug? Whenever I try to 'view' a notification from the lock screen (and it hasn't been unlocked yet), it doesn't go straight to the app. Same issue with the widgets.",software_update_performance,False,"Sorry to hear you’re experiencing this. Please check for any software updates and ensure you have enough free storage. If the issue continues, let us know your iPhone model and iOS version so we can assist further. 📱🔍",5,4,3,5,5,4
766966,Why tf is half my playlist unplayable? Your service is always giving me these issues fix it now before I switch @AppleSupport https://t.co/1sdMEjLnr8,data_backup_loss,True,We’re sorry to hear about the unplayable tracks. Please don’t erase your device yet. Check your iCloud Backup or recent computer backups. Let us know your device/iOS version so we can assist further. 📲🔍,1,4,2,3,4,2
542378,@AppleSupport help iPhone restarting every minute - lots of people reporting same thing  -HELP,software_update_performance,False,"Sorry to hear you're experiencing this. Please restart your iPhone and check for software updates. If it continues, let us know your iPhone model and iOS version so we can assist further.",5,4,4,5,5,4
9160,I got my phone yesterday and it’s already not charging thanks @115858 🙃,hardware_physical,True,"Sorry to hear your device isn't charging as expected. To help us assist you better, could you please check if the issue occurs with both the original charger and cable? Also, ensure your phone is in safe mode by holding the power button and volume down until Safe Mode appears. If the issue persists, we can arrange an inspection.",3,4,3,4,2,3
41547,@115858 You freaking suck! I just got a brand new phone under warranty because my other one was giving me issues. Now this one is giving me +,hardware_physical,True,Sorry to hear you're experiencing issues. We’re here to help. Could you please describe the problem in more detail or check your device’s version? You can also arrange an inspection through the Apple Support app or at getsupport.apple.com.,4,4,3,4,5,4
356424,"@AppleSupport @115858 ⌚️query, is the toy story feature animation only or do they talk like Mickey&amp;Minnie?
Thx",feature_how_to,False,"We’re happy to help. The Toy Story feature primarily showcases animation. For more details, please visit support.apple.com. Let us know if you need specific guidance on your device or iOS version!",4,4,2,5,5,3
826419,I updated to iOS 11.0.2 this morning and all day my phone has been freezing and crashing and then restarting by itself 😤 @AppleSupport,software_update_performance,False,"Sorry to hear you're experiencing issues after updating to iOS 11.0.2. Please restart your device and check for any available updates. If the problem persists, let us know your iPhone model and iOS version so we can assist further.",5,4,4,5,5,4
1018557,Dear @115858 - when I’m on the elliptical- I’m not driving. You should probably fix that. 😂,other_unclear,False,Sorry to hear you’re experiencing this. Could you share your device model and iOS version? This will help us assist you better. 😊,4,4,3,5,5,4
483281,"i’m bouta pitch this phone though like!!
@115858 FIX MY SHIT BRUH!!!",hardware_physical,True,Sorry to hear you're having issues. Let's get this sorted. Can you share your device and iOS version? An Apple Specialist will follow up with you soon.,4,4,2,4,5,3
872534,@AppleSupport I have a question regarding activating Iphone8 plus one time payment ($799) with other carrier different of AT&amp;T,feature_how_to,False,"We’re happy to help. Can you please provide your iPhone 8 Plus model and the current carrier, so we can guide you better? Support details: support.apple.com/one-time-payment",2,4,3,5,4,3
427835,@AppleSupport I was charged for a subscription that I ended and y’all owe me $15.,billing_subscription_purchase,True,"We’re sorry to hear about the issue. We can help. Please review your purchase history at reportaproblem.apple.com. For account-specific assistance, contact Apple Support.",5,4,4,5,5,4
667835,"@AppleSupport I purchased on iTunes tho I am unable to download it due to space, is it still purchased? I want download it to my Apple iPad when I get it.",billing_subscription_purchase,True,"We’re here to help! Yes, your purchase should still be there. Once your iPad is set up, go to Settings > [your name] > Purchased to find your item. If you need more assistance, a specialist can help you.",4,4,4,4,4,4
410115,@AppleSupport why is my phone telling me to update apple id settings? when I try the verification fails problem connecting to server 😡,account_access_security,True,"We’re here to help. For your security, please start account recovery at iforgot.apple.com or contact us directly if you can’t access your Apple ID settings. What’s your device and iOS version?",4,4,4,5,5,4
463943,@AppleSupport I Bought the iPhone X Today &amp; My Phone Won’t Charge Pass 4%. Had it On the Charger For 2 Hours,hardware_physical,True,"Sorry to hear your iPhone X isn't charging properly. For better assistance, could you check if the issue persists with another charger? Please also provide your purchase date for verification. An Apple Specialist will reach out soon.",4,4,3,4,5,4
291416,@AppleSupport I’m not sure if you guys sent this to me or someone is phishing for my account info https://t.co/ByWDjZCFbq,account_access_security,True,"We’re here to help, but for your security, please don’t share any info. Start account recovery at iforgot.apple.com or contact us directly. We’ll assist you further.",4,4,3,5,5,4
170358,Uh oh I’m having iPhone X issues. Let’s hope you can fix this @115858.,other_unclear,False,Sorry to hear you're experiencing issues with your iPhone X. Could you share more details about the problem? Knowing your device and software version will help us assist you better.,5,4,4,5,5,4
493608,"Will @115858 ever fix iBooks syncing, it never works 🤦🏻‍♂️",feature_how_to,False,"We’re happy to help. Please check the Apple Support app or support.apple.com for guidance. Let us know your device and iOS version, and what you’d like to do with iBooks syncing.",4,4,2,5,5,3
619360,Had my phone plugged up to the usb in the car.. &amp; while driving i got a slight hint of bbq... looked down and whattayaknow? My phone was smoking. Uh @115858 what exactly is going on?,hardware_physical,True,"Sorry to hear your device is having an issue. For your safety, avoid using it. Please arrange an inspection through the Apple Support app or at getsupport.apple.com. Thank you.",5,4,4,5,5,4
453966,@AppleSupport can you help me ? I have sent my problem in DM,other_unclear,False,"Sorry you’re running into this. Could you share your device model and what happens when you try? With those details, Apple Support can point you to the right next step.",5,4,4,5,5,4
594706,@AppleSupport Is this a scam? https://t.co/QNgQ310eyg,account_access_security,True,"We can help you secure your account. For your protection, never share passwords or verification codes. Start account recovery at iforgot.apple.com or contact us if you need further assistance.",4,4,3,5,5,4
361743,"Even when I try to change some settings in Preview print, it freezes... Come on fix it @115858 https://t.co/VlmHkrTumN",software_update_performance,False,"Sorry to hear you're experiencing issues. Please restart Preview, check for updates, and ensure your Mac has enough free storage. If the problem persists, let us know your Mac model and macOS version for further assistance.",5,4,4,5,5,4
566721,@AppleSupport my iPad is frozen. Please HELP!,software_update_performance,False,"Sorry to hear your iPad is frozen. Please restart it first. If it continues, let us know your iPad model and iOS version so we can assist further.",5,4,4,5,5,4
440794,"@AppleSupport Hi, so I have several billing issues with Apple Music. 1. It's billing me in pounds not dollars. Isn't that theft?",billing_subscription_purchase,True,"We’re sorry to hear about the billing issue with Apple Music. For account-specific assistance, please contact Apple Support. We’ll look into this for you.",4,4,3,5,5,4
143555,@AppleSupport why is the 6s having a glitch issue with the WiFi on iOS 11.1.2 ? Can’t connect at all,connectivity,False,"Sorry to hear you're having trouble. Try restarting your device and ensuring Wi-Fi is enabled. If issues persist, let us know your device model and iOS version.",5,4,3,5,5,4
41653,"Hey @AppleSupport either your grammar is going down hill, or someone’s gone #phishing https://t.co/8BHfuw5Tdq",account_access_security,True,"We value your feedback and appreciate you bringing this to our attention. We’re here to help. For your security, please don’t click any links. Could you share more details about the message, including the sender’s email, if available? We’ll ensure your account stays safe.",4,4,4,4,5,4
568457,I can’t do Apple Pay cash. On my iPhone X iOS 11.2 @115858 @AppleSupport,feature_how_to,False,We’re happy to help. Can you check if you have a valid card added to Apple Pay? Visit support.apple.com for step-by-step guidance. Please let us know if you need more assistance!,4,4,3,5,5,4
462025,@AppleSupport @115858 When is the CF and Developer Tools sourcecode ever gonna be released for latest versions on https://t.co/DfzWMTGBfL ?????? I email and never get a response.,feature_how_to,False,"We’re happy to help. Please tell us which Apple device and software version you’re using. For development resources, check developer.apple.com. Let us know if you need more assistance!",5,4,3,5,5,4
553564,Hi @115858 @AppleSupport I didn’t subscribe to @25269 hooq_sg. Please clarify if this email is LEGIT. https://t.co/J9Cm687Lft,account_access_security,True,"We can help you verify this. For your protection, never share passwords or verification codes. Please provide the email details or device/iOS version for further assistance.",4,4,3,4,5,4
114521,@AppleSupport @6523 Will I ever be getting my Iphone? Looks like its doing loops between China and Korea #supplychainproblems https://t.co/KrFbthlKuJ,billing_subscription_purchase,True,"We’re sorry to hear about the delay with your iPhone. We’re experiencing global supply chain challenges. For updates, please check the status of your order at apple.com/orders and contact us if you need further assistance.",3,4,4,4,4,3
613159,@AppleSupport phone batteries will not charge. Switched chargers &amp; cords. 2 iPhones. So it’s not my phone or chargers need a fix. About DONE w/Apple. Switching expensive shit that won’t work. I’ve 2 doing same thing. 5% charging losing battery life,hardware_physical,True,"Sorry to hear you’re having trouble with your phone batteries. Let’s get this sorted. Could you check the charging port and ensure it’s clean? Also, note the model and iOS version for us. If issues persist, an inspection at getsupport.apple.com or the Apple Store might help.",5,4,4,5,5,4
