thread_id,opening_text,created_at,n_turns,dt,month
807406,".@312398 Is the 2015 i30's iPod mode incompatible with iOS 11? It keeps displaying ""Communication Error"".",Thu Sep 21 14:24:15 +0000 2017,6,2017-09-21 14:24:15+00:00,2017-09
889012,A new generation of iPhone. Now available.,Fri Sep 22 00:01:28 +0000 2017,3,2017-09-22 00:01:28+00:00,2017-09
311509,"My iPhone 7 doesnthave an ""auto call answering"" option but I sick of it auto answering after few rings. How do I stop it?😡😡💚💚 @AppleSupport",Thu Sep 28 13:52:09 +0000 2017,3,2017-09-28 13:52:09+00:00,2017-09
319973,@applesupport I’m missing several thousand photos after upgrading to iOS 11. Years worth of content. I sure hope you have a solution.,Thu Sep 21 15:45:27 +0000 2017,5,2017-09-21 15:45:27+00:00,2017-09
240474,".@AppleSupport iOS11 - when playing podcasts, the lock screen doesn’t show correct play times until paused. Could you log a fault? Thanks.",Wed Sep 27 07:28:07 +0000 2017,12,2017-09-27 07:28:07+00:00,2017-09
409648,"This is what my lock screen looks like, @115858 PLEASE address the bugs. I have like 4 other glitches that I can recreate with the new update 😣 https://t.co/NzAfYNzZpt",Fri Sep 29 22:25:02 +0000 2017,6,2017-09-29 22:25:02+00:00,2017-09
553609,"Hey @AppleSupport ever since I updated to iOS 11, my iPhone 6S keeps just kinda shutting down randomly and turning back on immediately. It’s rather annoying. Can you make it stop doing that please",Sat Sep 30 21:06:19 +0000 2017,3,2017-09-30 21:06:19+00:00,2017-09
311879,@AppleSupport App Store and iTunes will not load after updating to iOS 11?!?! Please help,Fri Sep 22 14:47:07 +0000 2017,8,2017-09-22 14:47:07+00:00,2017-09
238762,A new generation of iPhone. Available now.,Fri Sep 29 04:19:16 +0000 2017,4,2017-09-29 04:19:16+00:00,2017-09
1024325,Flight + AirPods + Breaker = pure enjoyment 🍉,Wed Sep 20 23:23:25 +0000 2017,12,2017-09-20 23:23:25+00:00,2017-09
237027,@AppleSupport I have been locked out of my account for 5 days and now it says 23 days. I want this canceled,Fri Sep 29 19:16:39 +0000 2017,4,2017-09-29 19:16:39+00:00,2017-09
1022348,"@AppleSupport Oh joy! Bluetooth connectivity is shit too!
How do I go back to a iOS10 release?
There’s no way #iOS11 should have shipped like this. #Fail",Thu Sep 21 05:40:04 +0000 2017,5,2017-09-21 05:40:04+00:00,2017-09
816200,Portrait Lighting on iPhone 8 Plus lets you create dramatic studio lighting effects.,Fri Sep 29 22:03:17 +0000 2017,3,2017-09-29 22:03:17+00:00,2017-09
321416,This is what leadership looks like. https://t.co/oWuHpp8U4b,Sat Sep 30 22:43:31 +0000 2017,3,2017-09-30 22:43:31+00:00,2017-09
273123,@AppleSupport IOS 11.1 UI is broken:Try making a call &amp; at the same time access any other app. The screen splits into 2 &amp; one half its black https://t.co/8xpJQmfeUa,Fri Sep 29 22:13:09 +0000 2017,5,2017-09-29 22:13:09+00:00,2017-09
857698,Join us September 12 at 10am PT to watch the #AppleEvent live at https://t.co/xi6CRXgQPH. Retweet for updates from @115858. https://t.co/QYyd7HNoGL,Wed Sep 06 20:03:12 +0000 2017,6,2017-09-06 20:03:12+00:00,2017-09
321076,"@AppleSupport @115858 @116333 
helpless and couldn't give me a solution. How do I trust now?
Case ID: 100299060373",Fri Sep 22 07:53:36 +0000 2017,5,2017-09-22 07:53:36+00:00,2017-09
238443,"Hi @115858, @118936 downloading simulator runtimes in Xcode is currently broken. Could you please have a look? https://t.co/jYCEO1R8Gj",Thu Sep 28 19:53:27 +0000 2017,3,2017-09-28 19:53:27+00:00,2017-09
877148,"iOS 11 has been cool for the first week, but now my phone is freezing and auto restarting. Help. #iOS11 @115858",Thu Sep 28 17:27:03 +0000 2017,3,2017-09-28 17:27:03+00:00,2017-09
244729,"@AppleSupport 
 how long is it safe to charge a mac,iphone,ipad,or ipod  for without lowering  the performance of the device or damaging it?",Tue Sep 12 02:00:33 +0000 2017,6,2017-09-12 02:00:33+00:00,2017-09
795680,When @115948’s radio doesn’t work on your Mac anymore. 🙃 @AppleSupport,Thu Sep 21 03:51:45 +0000 2017,4,2017-09-21 03:51:45+00:00,2017-09
327000,@AppleSupport terrible way of handling my 6 month long nitemare w/iPhone 7 power issues (under warranty) &amp; nuthin but grief &amp; inconvenience,Fri Sep 29 22:09:58 +0000 2017,4,2017-09-29 22:09:58+00:00,2017-09
780727,A new generation of iPhone. Now available.,Thu Sep 21 23:36:02 +0000 2017,3,2017-09-21 23:36:02+00:00,2017-09
823990,Had to update to iOS11 for a work app I barely use and now my phone is completely fkin useless. Thanks @115858!!!!!!!,Sat Sep 30 14:40:24 +0000 2017,4,2017-09-30 14:40:24+00:00,2017-09
827056,iPhone 8 and iPhone 8 Plus. A new generation of iPhone. Available now.,Wed Sep 27 09:59:34 +0000 2017,5,2017-09-27 09:59:34+00:00,2017-09
14838,@AppleSupport iOS 11 is draining the battery on my iPhone 7 twice as fast as iOS 10. Help!,Thu Sep 28 18:32:39 +0000 2017,5,2017-09-28 18:32:39+00:00,2017-09
304321,@AppleSupport @115858 OMG!!! I have an iphone 6s+ and it’s so freaking slow and unresponsive with IOS11! WORST.UPDATE.EVER!!!!!!!,Sat Sep 30 06:54:05 +0000 2017,4,2017-09-30 06:54:05+00:00,2017-09
333090,"Hello @AppleSupport is there a bug for this #iOS11 ? Toggle from airplane mode turns on WiFi and Bluetooth

 https://t.co/wVlfwalG6l",Wed Sep 20 03:32:37 +0000 2017,3,2017-09-20 03:32:37+00:00,2017-09
366028,@115858 what's up with the Apple Watch have love it for almost a year and then yesterday it burned my wrist pretty bad?? Help! https://t.co/Rg9dEuo8GT,Fri Sep 15 17:37:43 +0000 2017,9,2017-09-15 17:37:43+00:00,2017-09
240111,Seriously @115858 you've released an interim #OS11 update &amp; not fixed the wifi/Bluetooth staying on issue; surely this isn't a feature?!,Fri Sep 29 13:30:25 +0000 2017,5,2017-09-29 13:30:25+00:00,2017-09
416670,@115858 why?! Y make it impossible to turn off WiFi for good? I drive it comes on &amp; drops good LTD for crappy wifi &amp; drains battry looking!,Tue Sep 26 14:59:02 +0000 2017,4,2017-09-26 14:59:02+00:00,2017-09
296447,Showstopper defect in Iphone 6s. Phone hangs when we have more than 5 alarms scheduled @AppleSupport @115858,Mon Sep 04 09:55:19 +0000 2017,7,2017-09-04 09:55:19+00:00,2017-09
707839,@115858 terrible new lock screen on up ISO 11 update can’t see it,Thu Sep 28 15:51:08 +0000 2017,3,2017-09-28 15:51:08+00:00,2017-09
