thread_id,opening_text,created_at,n_turns,dt,month
700,@AppleSupport why are my I️’s changing not showing up correctly on any of my social media platforms? https://t.co/GyRvpyVnkE,Tue Oct 31 22:16:56 +0000 2017,5,2017-10-31 22:16:56+00:00,2017-10
711,What is up with this “ I️ “,Tue Oct 31 21:29:22 +0000 2017,10,2017-10-31 21:29:22+00:00,2017-10
714,"Hey @AppleSupport and anyone else who upgraded to ios11.1, are y’all having issues with capital “I️” in the Mail app? As it puts in “A”?",Tue Oct 31 22:19:32 +0000 2017,3,2017-10-31 22:19:32+00:00,2017-10
719,Tf is wrong with my keyboard @115858,Tue Oct 31 22:01:50 +0000 2017,4,2017-10-31 22:01:50+00:00,2017-10
723,@115858 @AppleSupport hello are all the lines closed for tonight #help,Tue Oct 31 22:11:16 +0000 2017,4,2017-10-31 22:11:16+00:00,2017-10
730,"Hello, internet. Can someone explain why this symbol keeps appearing on my phone and when I️ try to type the letter I️? Also @AppleSupport https://t.co/QKwvTLtiN7",Tue Oct 31 20:46:35 +0000 2017,6,2017-10-31 20:46:35+00:00,2017-10
733,@AppleSupport I’ve got a screenshot saying my #iPhoneX is reserved for the 3rd then an email saying it’s the 18th... what happened?,Tue Oct 31 22:16:40 +0000 2017,2,2017-10-31 22:16:40+00:00,2017-10
736,Thank you @AppleSupport I updated my phone and now it is even slower and barely works. Thank you for ruining my phone.😤,Tue Oct 31 22:17:57 +0000 2017,4,2017-10-31 22:17:57+00:00,2017-10
747,Hola @AppleSupport necesito urgente la actualización de software. La batería me dura literal medio día 🙍🏼🙇🏼‍♀️,Tue Oct 31 18:08:04 +0000 2017,10,2017-10-31 18:08:04+00:00,2017-10
749,@AppleSupport Hi! What is going on? Has Youtube lost it? What can be done about it? Thanks for the support! https://t.co/T8ZZp4IH6t,Tue Oct 31 22:06:44 +0000 2017,2,2017-10-31 22:06:44+00:00,2017-10
752,"@AppleSupport my Apple TV works fine with my phone, but when playing videos on Mac air it stutters so much &amp; sound is still on Mac not tv?",Thu Oct 12 10:11:50 +0000 2017,3,2017-10-12 10:11:50+00:00,2017-10
756,MY HOME BUTTON DOESN’T WORK #IOS11 @AppleSupport,Tue Oct 31 20:49:07 +0000 2017,4,2017-10-31 20:49:07+00:00,2017-10
758,Hey @115858! Last time I downloaded an update my freaking phone gave me hell. Any recommendations?,Tue Oct 31 22:10:06 +0000 2017,2,2017-10-31 22:10:06+00:00,2017-10
765,After update #ios1103 no spotify on my lock screen?@AppleSupport,Tue Oct 31 18:20:46 +0000 2017,6,2017-10-31 18:20:46+00:00,2017-10
767,I just need @115858 to do something about the battery life because it sucks ass,Tue Oct 31 22:08:32 +0000 2017,2,2017-10-31 22:08:32+00:00,2017-10
1755,"Why does my I️ not work ?! 
@115858 please fix this!!!",Tue Oct 31 22:36:21 +0000 2017,2,2017-10-31 22:36:21+00:00,2017-10
1759,Why is “I️” keep changing to this and how do I️ stop it🤦🏽‍♀️ @115858 @AppleSupport #anybody https://t.co/urzAfSZL5z,Tue Oct 31 18:17:27 +0000 2017,4,2017-10-31 18:17:27+00:00,2017-10
1761,iOS 11 is killing my battery @115858. Fix it.,Tue Oct 31 22:33:01 +0000 2017,2,2017-10-31 22:33:01+00:00,2017-10
1764,"@AppleSupport Hello, I need some help regarding the region change on my Apple ID",Tue Oct 31 22:29:29 +0000 2017,5,2017-10-31 22:29:29+00:00,2017-10
